Creation Date,Step Count
2023-10-29 01:58:48+03:00,823
2023-10-29 02:09:00+03:00,147
2023-10-30 15:25:09+03:00,868
2023-10-30 15:35:09+03:00,386
2023-10-30 16:06:45+03:00,296
2023-10-30 16:16:44+03:00,926
2023-10-30 18:40:17+03:00,466
2023-10-30 18:57:58+03:00,691
2023-10-30 19:33:46+03:00,163
2023-10-30 19:55:21+03:00,655
2023-10-30 20:29:04+03:00,288
2023-10-30 21:44:13+03:00,213
2023-10-30 23:04:56+03:00,660
2023-10-30 23:15:09+03:00,103
2023-10-30 23:58:51+03:00,873
2023-10-31 00:08:52+03:00,886
2023-10-31 00:18:45+03:00,455
2023-10-31 13:27:57+03:00,132
2023-10-31 13:47:09+03:00,118
2023-10-31 14:09:08+03:00,171
2023-10-31 15:00:02+03:00,259
2023-10-31 15:22:10+03:00,868
2023-10-31 15:31:51+03:00,570
2023-10-31 15:56:38+03:00,722
2023-10-31 16:06:39+03:00,950
2023-10-31 16:15:56+03:00,674
2023-11-02 12:20:47+03:00,299
2023-11-02 12:30:26+03:00,346
2023-11-02 12:53:00+03:00,366
2023-11-02 13:24:38+03:00,185
2023-11-02 14:05:37+03:00,251
2023-11-02 14:57:10+03:00,228
2023-11-02 15:45:57+03:00,912
2023-11-02 15:56:23+03:00,508
2023-11-02 16:24:14+03:00,813
2023-11-02 16:33:57+03:00,590
2023-11-02 16:45:00+03:00,205
2023-11-02 16:55:52+03:00,146
2023-11-04 15:37:56+03:00,578
2023-11-04 15:47:47+03:00,796
2023-11-04 16:02:49+03:00,663
2023-11-04 16:15:27+03:00,135
2023-11-04 19:49:58+03:00,547
2023-11-04 20:57:14+03:00,282
2023-11-04 23:19:25+03:00,297
2023-11-04 23:39:00+03:00,634
2023-11-04 23:49:47+03:00,153
2023-11-04 23:59:48+03:00,217
2023-11-05 00:33:59+03:00,310
2023-11-05 00:46:57+03:00,220
2023-11-06 17:18:35+03:00,549
2023-11-06 17:31:11+03:00,723
2023-11-06 18:29:45+03:00,574
2023-11-06 18:39:46+03:00,250
2023-11-06 18:53:58+03:00,106
2023-11-06 20:29:34+03:00,582
2023-11-06 20:42:33+03:00,242
2023-11-06 20:55:09+03:00,315
2023-11-06 21:10:12+03:00,247
2023-11-06 21:20:24+03:00,359
2023-11-06 21:30:00+03:00,448
2023-11-06 21:38:58+03:00,437
2023-11-06 22:27:51+03:00,605
2023-11-06 22:38:07+03:00,928
2023-11-06 22:48:08+03:00,612
2023-11-07 08:38:13+03:00,152
2023-11-07 09:20:11+03:00,504
2023-11-07 09:27:41+03:00,511
2023-11-07 09:30:25+03:00,174
2023-11-07 11:01:45+03:00,109
2023-11-07 12:05:19+03:00,323
2023-11-07 12:13:13+03:00,186
2023-11-07 12:15:20+03:00,123
2023-11-07 13:02:24+03:00,146
2023-11-07 13:02:41+03:00,154
2023-11-07 13:35:00+03:00,205
2023-11-07 13:36:11+03:00,142
2023-11-07 13:57:50+03:00,455
2023-11-07 14:05:05+03:00,383
2023-11-07 14:08:52+03:00,298
2023-11-07 14:14:59+03:00,302
2023-11-07 14:27:43+03:00,234
2023-11-07 14:55:48+03:00,221
2023-11-07 14:57:07+03:00,252
2023-11-07 15:45:34+03:00,777
2023-11-07 15:46:28+03:00,885
2023-11-07 15:56:29+03:00,470
2023-11-07 15:59:14+03:00,184
2023-11-07 16:22:58+03:00,563
2023-11-07 16:25:57+03:00,831
2023-11-07 16:32:12+03:00,940
2023-11-07 16:36:29+03:00,872
2023-11-07 16:42:56+03:00,531
2023-11-07 16:54:09+03:00,759
2023-11-07 17:05:14+03:00,248
2023-11-07 17:11:36+03:00,571
2023-11-07 17:15:06+03:00,441
2023-11-08 07:27:36+03:00,221
2023-11-08 07:31:40+03:00,101
2023-11-08 07:33:37+03:00,103
2023-11-08 07:33:37+03:00,101
2023-11-08 07:37:11+03:00,573
2023-11-08 07:43:51+03:00,356
2023-11-08 07:47:49+03:00,538
2023-11-08 07:53:58+03:00,462
2023-11-08 07:57:50+03:00,208
2023-11-08 09:17:42+03:00,230
2023-11-08 09:23:10+03:00,188
2023-11-08 09:28:25+03:00,106
2023-11-08 09:28:25+03:00,106
2023-11-08 09:28:25+03:00,107
2023-11-08 09:29:37+03:00,540
2023-11-08 09:30:57+03:00,104
2023-11-08 09:38:39+03:00,387
2023-11-08 09:43:02+03:00,133
2023-11-08 10:54:11+03:00,108
2023-11-08 10:54:17+03:00,112
2023-11-08 11:04:11+03:00,160
2023-11-08 11:42:58+03:00,783
2023-11-08 11:45:42+03:00,850
2023-11-08 11:53:55+03:00,276
2023-11-08 14:18:32+03:00,100
2023-11-08 14:25:08+03:00,332
2023-11-08 14:35:19+03:00,512
2023-11-08 14:35:39+03:00,523
2023-11-08 15:44:50+03:00,856
2023-11-08 15:45:01+03:00,898
2023-11-08 15:54:49+03:00,378
2023-11-08 15:54:58+03:00,319
2023-11-08 16:04:54+03:00,695
2023-11-08 16:05:00+03:00,788
2023-11-08 16:13:53+03:00,686
2023-11-08 16:16:10+03:00,639
2023-11-08 20:52:28+03:00,173
2023-11-09 12:02:51+03:00,131
2023-11-09 12:13:05+03:00,259
2023-11-09 12:19:47+03:00,578
2023-11-09 12:23:53+03:00,385
2023-11-09 12:30:14+03:00,592
2023-11-09 12:33:00+03:00,681
2023-11-09 12:40:19+03:00,139
2023-11-09 12:58:45+03:00,774
2023-11-09 12:59:38+03:00,892
2023-11-09 13:09:32+03:00,483
2023-11-09 13:24:12+03:00,167
2023-11-09 13:25:06+03:00,267
2023-11-09 14:55:29+03:00,303
2023-11-09 14:56:30+03:00,317
2023-11-09 15:05:42+03:00,125
2023-11-09 15:16:42+03:00,100
2023-11-09 15:16:42+03:00,102
2023-11-09 15:17:38+03:00,929
2023-11-09 15:25:39+03:00,381
2023-11-09 15:29:06+03:00,122
2023-11-09 15:36:20+03:00,126
2023-11-09 15:47:37+03:00,574
2023-11-09 15:52:00+03:00,837
2023-11-09 15:57:39+03:00,639
2023-11-09 16:01:40+03:00,337
2023-11-09 16:09:39+03:00,825
2023-11-09 16:12:13+03:00,836
2023-11-09 16:20:11+03:00,635
2023-11-09 16:21:45+03:00,552
2023-11-10 03:43:10+03:00,133
2023-11-10 17:43:57+03:00,146
2023-11-11 00:51:47+03:00,115
2023-11-11 01:06:31+03:00,132
2023-11-13 05:45:09+03:00,209
2023-11-13 23:13:53+03:00,100
2023-11-15 05:15:18+03:00,117
2023-11-15 05:31:37+03:00,112
2023-11-15 18:30:11+03:00,538
2023-11-15 18:35:08+03:00,385
2023-11-15 18:59:05+03:00,532
2023-11-15 18:59:13+03:00,568
2023-11-15 19:23:57+03:00,162
2023-11-15 19:31:28+03:00,163
2023-11-15 19:34:15+03:00,121
2023-11-15 19:44:26+03:00,148
2023-11-15 19:54:40+03:00,579
2023-11-15 19:55:24+03:00,620
2023-11-15 20:10:20+03:00,221
2023-11-15 22:08:55+03:00,363
2023-11-15 22:10:42+03:00,412
2023-11-15 22:20:24+03:00,256
2023-11-15 22:49:27+03:00,129
2023-11-15 23:13:15+03:00,876
2023-11-15 23:13:39+03:00,879
2023-11-15 23:15:48+03:00,101
2023-11-15 23:23:39+03:00,800
2023-11-15 23:29:15+03:00,844
2023-11-15 23:33:44+03:00,719
2023-11-15 23:39:44+03:00,355
2023-11-15 23:57:23+03:00,133
2023-11-16 04:00:00+03:00,132
2023-11-16 11:55:43+03:00,124
2023-11-16 12:05:34+03:00,660
2023-11-16 12:07:37+03:00,557
2023-11-16 12:26:45+03:00,277
2023-11-16 12:30:54+03:00,276
2023-11-16 13:11:06+03:00,116
2023-11-16 13:19:41+03:00,528
2023-11-16 13:21:33+03:00,404
2023-11-16 13:44:01+03:00,569
2023-11-16 13:45:00+03:00,496
2023-11-16 14:21:31+03:00,518
2023-11-16 14:23:01+03:00,558
2023-11-16 14:32:50+03:00,180
2023-11-16 14:36:30+03:00,190
2023-11-16 14:56:08+03:00,177
2023-11-16 14:57:04+03:00,130
2023-11-16 15:07:13+03:00,111
2023-11-16 15:46:41+03:00,100
2023-11-16 15:59:25+03:00,197
2023-11-16 16:04:07+03:00,240
2023-11-16 16:27:53+03:00,115
2023-11-17 16:36:09+03:00,127
2023-11-18 17:47:20+03:00,109
2023-11-18 17:47:20+03:00,113
2023-11-18 17:47:20+03:00,113
2023-11-18 17:53:52+03:00,507
2023-11-18 18:09:39+03:00,233
2023-11-18 18:09:54+03:00,300
2023-11-18 19:23:11+03:00,575
2023-11-18 19:23:15+03:00,563
2023-11-18 19:32:47+03:00,630
2023-11-18 19:32:51+03:00,642
2023-11-18 19:54:36+03:00,158
2023-11-18 19:55:42+03:00,223
2023-11-18 20:55:03+03:00,115
2023-11-18 21:01:08+03:00,274
2023-11-18 21:13:29+03:00,288
2023-11-18 21:14:10+03:00,330
2023-11-18 21:17:16+03:00,105
2023-11-18 21:17:16+03:00,113
2023-11-18 21:23:59+03:00,822
2023-11-18 21:27:22+03:00,344
